Indicator,Disaggregation combinations using this value
#1-1-1,6
#1-2-1,1
#1-4-2,3
#1-5-2,2
#1-5-4,1
#11-1-1,1
#11-2-1-1,1
#11-3-1,3
#11-6-1-1,1
#11-6-1,1
#11-6-2,2
#11-b-2,1
#13-3-1-1,1
#14-7-1,1
#15-1-1,1
#15-2-1-1,1
#15-2-1,5
#15-3-1,1
#16-2-1,1
#16-9-1,1
#17-3-1-2,1
#17-6-2,3
#17-8-1,1
#2-2-1,2
#2-2-2,3
#3-1-1,1
#3-1-2,3
#3-2-1,9
#3-2-2,9
#3-4-2,9
#3-6-1,9
#3-7-1,1
#3-7-2,6
#3-9-2,9
#3-9-3,9
#4-1-1,5
#4-2-1,1
#4-2-2-1,1
#4-2-2,3
#4-3-1-2,9
#4-3-1-3,9
#4-4-1-1,1
#4-4-1,18
#4-5-1-1,1
#4-5-1-2,1
#4-5-1-3,1
#4-5-1,3
#4-7-1-2,1
#4-a-1,7
#4-c-1,1
#5-5-2,10
#5-a-1,3
#5-b-1,9
#6-1-1,2
#6-2-1,2
#6-3-1,1
#6-3-2,1
#7-1-1,1
#7-3-1,1
#8-1-1,1
#8-2-1,1
#8-3-1-1,12
#8-3-1,12
#8-5-1,10
#8-5-2,11
#8-6-1,5
#8-7-1,5
#9-1-2,4
#9-2-1-1,1
#9-2-1,2
#9-2-2,1
#9-5-1,1
#9-5-2,1
